,Variable_1,Variable_2,Correlation
0,BNFT_CNT,EMLR_GRP_CNT,0.9681028425982876
1,BNFT_CNT,ZIP_CNT,0.8177899744443584
2,MM_CNT,PAID_AMT,0.792853749217456
3,EMLR_GRP_CNT,ZIP_CNT,0.7922988908677864
4,MM_CNT,BNFT_CNT,0.7811878145222523
5,MM_CNT,ZIP_CNT,0.7559352270114836
6,MM_CNT,EMLR_GRP_CNT,0.7259760876900063
7,DWNSD_SSAV_PCT,DWNSD_RSK_PCT,0.6122859847576184
8,MBR_RSK,SSAV_PMPM,0.6098904771953895
9,PAID_AMT,ZIP_CNT,0.6068752155855192
10,UPSD_SSAV_PCT,DWNSD_RSK_PCT,0.6041333783377251
11,PAID_AMT,BNFT_CNT,0.570108666011609
12,PAID_AMT,EMLR_GRP_CNT,0.5303391652021222
13,MBR_RSK,AVG_AGE,0.3416648229548735
14,MRKT_RSK,MBR_RSK,0.33990057372179644
15,UPSD_SSAV_PCT,SSAV_PMPM,0.3063165974884218
99,MRKT_RSK,SSAV_PMPM,-0.3108272741560423
100,MBR_RSK,UPSD_SSAV_PCT,-0.3423445934884019
101,TIN,MRKT_RSK,-0.37560655979438656
102,DWNSD_SSAV_PCT,UPSD_RSK_PCT,-0.4248302978254322
103,MRKT_RSK,DWNSD_RSK_PCT,-0.4783695481540271
104,MRKT_RSK,UPSD_SSAV_PCT,-0.5327749804316771
