,Variable_1,Variable_2,Correlation
0,BNFT_CNT,EMLR_GRP_CNT,0.9818104150331289
1,CAK_CNT,MBR_CNT,0.9401522826161963
2,MM_CNT,PAID_AMT,0.8516443934422033
3,BNFT_CNT,ZIP_CNT,0.8379724621442116
4,EMLR_GRP_CNT,ZIP_CNT,0.8031154481898484
5,UPSD_SSAV_PCT,UPSD_RSK_PCT,0.7908717256770394
6,MM_CNT,ZIP_CNT,0.7854492691846242
7,MM_CNT,BNFT_CNT,0.7758773005469709
8,MBR_RSK,SSAV_PMPM,0.7451762273061184
9,MM_CNT,EMLR_GRP_CNT,0.7413778934110553
10,UPSD_SSAV_PCT,DWNSD_RSK_PCT,0.7290236616493316
11,PAID_AMT,ZIP_CNT,0.6546408649843596
12,PAID_AMT,BNFT_CNT,0.6226962882610745
13,PAID_AMT,EMLR_GRP_CNT,0.5965089069062547
14,DWNSD_RSK_PCT,UPSD_RSK_PCT,0.37658297666929974
15,MBR_RSK,AVG_AGE,0.35331324074832315
16,MRKT_RSK,DWNSD_SSAV_PCT,0.32788779567458853
17,AVG_AGE,SSAV_PMPM,0.3100321243735401
166,MBR_RSK,UPSD_SSAV_PCT,-0.3097191891916375
167,TIN,MRKT_RSK,-0.3540427157681082
168,MRKT_RSK,UPSD_SSAV_PCT,-0.4192352728485097
169,UPSD_SSAV_PCT,DWNSD_SSAV_PCT,-0.6537852314041581
170,DWNSD_SSAV_PCT,UPSD_RSK_PCT,-0.8801633684928454
